%eval_id interface              L              w              t              p              E              X              Y           mass         stress   displacement 
175          NO_ID    4.556395618    2.370821317    2.257947057            500       29000000            350            500     7.05765248     41366.1749 0.000283143553 
176          NO_ID    5.217451394    1.951042971    2.093896666            500       29000000            350            500     6.16746592     61417.6112 0.000702463556 
177          NO_ID    4.790048022    1.980231224    2.003178081            500       29000000            350            500     5.49796027     64488.5286 0.000585750012 
178          NO_ID     6.08372594     2.21918896     2.42894442            500       29000000            350            500     9.48872299     40469.0182 0.000637277929 
179          NO_ID    4.842221799     1.87913023    2.040817567            500       29000000            350            500     5.37318765     67472.3091 0.000635724932 
180          NO_ID    4.614151058    1.418108523    1.858974523            500       29000000            350            500     3.51966216     117388.905  0.00116329464 
181          NO_ID    6.019628223    1.767047855    2.164892743            500       29000000            350            500     6.66316598     67290.3823  0.00121702915 
182          NO_ID    6.342273639    2.112992689     2.12581795            500       29000000            350            500     8.24318992     53543.1747  0.00106224933 
183          NO_ID    3.393123341    1.687765799    2.133434934            500       29000000            350            500     3.53522856     73607.9968 0.000246643925 
184          NO_ID    5.434556483    1.826938973    1.981392635            500       29000000            350            500       5.692263     73581.1061  0.00100896246 
185          NO_ID    3.981274987    1.947833374    1.708224862            500       29000000            350            500     3.83305704      85183.127  0.00050907378 
186          NO_ID    4.685378333    1.984156061    2.328908187            500       29000000            350            500     6.26468338     50780.8646 0.000393202584 
187          NO_ID    4.595947797    1.802372912    1.991938829            500       29000000            350            500     4.77443519     74402.2254 0.000618349497 
188          NO_ID    4.287137594      1.6812013    1.653130518            500       29000000            350            500     3.44762919     110240.204 0.000863941814 
189          NO_ID    4.708909843    1.920275461    1.975376542            500       29000000            350            500     5.16844699     68866.5161 0.000605431101 
190          NO_ID    5.762307958    1.691902057    1.560806486            500       29000000            350            500     4.40298302     119788.385  0.00238754028 
191          NO_ID    5.041935057    1.977634198    2.081224832            500       29000000            350            500     6.00466076     60821.0321  0.00062736318 
192          NO_ID    4.829162042    1.708868365    2.177049447            500       29000000            350            500     5.19846289     70072.3505 0.000666684914 
193          NO_ID     5.32794352    2.066399862    2.127544461            500       29000000            350            500     6.77764609     55189.6991 0.000652699746 
194          NO_ID    4.803658005    2.125231067    2.106630756            500       29000000            350            500     6.22290144     53878.9636 0.000466969452 
195          NO_ID    4.613261539    2.126765709    1.790396351            500       29000000            350            500     5.08280182     69936.8122 0.000619249595 
196          NO_ID    5.732253561    1.952630608    2.449689602            500       29000000            350            500     7.93382854     48086.0176 0.000673329451 
197          NO_ID    4.531214507    1.786795306    2.069127527            500       29000000            350            500     4.84733405     71006.1876 0.000555968359 
